aces_ratio_p2,set5_games_p1,set5_games_p2,double_faults_p1,double_faults_p2,set4_games_p2,set4_games_p1,first_serve_percent_p1,first_serve_percent_p2,aces_ratio_p1,second_serve_points_won_dividend_p1,first_serve_points_won_divisor_p1,first_serve_points_won_divisor_p2,second_serve_points_won_dividend_p2,duration,first_serve_percent_points_won_p2,first_serve_divisor_p2,match_date,first_serve_divisor_p1,first_serve_percent_points_won_p1,first_serve_dividend_p1,first_serve_dividend_p2,first_serve_points_won_dividend_p2,first_serve_points_won_dividend_p1,tournament,aces_p1,aces_p2,second_serve_points_won_divisor_p1,double_fouls_p1,double_fouls_p2,winner_name,second_serve_points_won_divisor_p2,second_serve_percent_points_won_p2,second_serve_percent_points_won_p1,p2,p1,set1_games_p1,set2_games_p1,set2_games_p2,sets_duration,set1_games_p2,set3_games_p2,set3_games_p1,round
25.0,,,3,6,,,57,55,75.0,15,39,46,18,01:40:00,65,83,,68,79,39,46,30,31,Australian Open,6,2,29,,,P. Herbert,37,49,52,M. Chiudinelli,P. Herbert,7,6,4,2,6,,,2nd Round Qualifying
0.0,,,2,2,,,69,58,100.0,10,41,28,9,01:04:00,57,48,,59,68,41,28,16,28,Australian Open,4,0,18,,,J. Kovalik,20,45,56,M. Donati,J. Kovalik,6,6,3,2,2,,,2nd Round Qualifying
25.0,,,1,2,,,67,65,75.0,9,30,37,6,01:06:00,65,57,,45,87,30,37,24,26,Australian Open,6,2,15,,,A. Menendez-Maceiras,20,30,60,O. Anderson,A. Menendez-Maceiras,6,6,2,2,4,,,2nd Round Qualifying
60.0,,,0,1,,,62,56,40.0,13,32,23,10,00:52:00,65,41,,52,81,32,23,15,26,Australian Open,2,3,20,,,P. Gojowczyk,18,56,65,F. Tiafoe,P. Gojowczyk,6,6,2,2,3,,,2nd Round Qualifying
16.666666666666664,,,13,4,,,58,54,83.33333333333334,21,64,61,27,02:27:00,52,113,,110,72,64,61,32,46,Australian Open,5,1,46,,,D. Evans,52,52,46,A. Weintraub,D. Evans,7,6,7,3,5,2,6,2nd Round Qualifying
54.54545454545454,,,5,6,,,64,57,45.45454545454545,19,54,54,17,02:07:00,78,95,,85,81,54,54,42,44,Australian Open,5,6,31,,,D. Brands,41,41,61,M. Janvier,D. Brands,6,6,3,3,7,2,6,2nd Round Qualifying
27.27272727272727,,,5,4,,,72,56,72.72727272727273,18,107,78,33,03:24:00,64,139,,148,66,107,78,50,71,Australian Open,8,3,41,,,K. De Schepper,61,54,44,J. Zopp,K. De Schepper,7,5,7,3,5,10,12,2nd Round Qualifying
44.44444444444444,,,1,1,,,65,61,55.55555555555556,16,53,39,11,01:26:00,72,64,,81,70,53,39,28,37,Australian Open,5,4,28,,,D. Novikov,25,44,57,J. Ward,D. Novikov,6,7,5,2,4,,,2nd Round Qualifying
0.0,,,1,1,,,60,59,100.0,20,40,40,16,01:05:00,73,68,,67,73,40,40,29,29,Australian Open,3,0,27,,,S. Robert,28,57,74,I. Sijsling,S. Robert,7,7,5,2,5,,,2nd Round Qualifying
100.0,,,2,3,,,65,52,0.0,8,26,24,10,00:51:00,50,46,,40,92,26,24,12,24,Australian Open,0,1,14,,,M. Zverev,22,45,57,N. Gombos,M. Zverev,6,6,2,2,1,,,2nd Round Qualifying
